ticker,headline,summary,source,date,label_text,label,true_label,headline_clean,vader_model,vader_label,vader_compound_score,vader_score_positive,vader_score_negative,vader_score_neutral
MSFT,"Musk vs. OpenAI lawyers' closing arguments hit on Musk's ambition, Altman's character",Lawyers for Musk and OpenAI sparred in closing arguments in the blockbuster trial.,Yahoo Finance,2026-05-14,,,,"Musk vs. OpenAI lawyers' closing arguments hit on Musk's ambition, Altman's character",VADER,negative,-0.4019,0.0,0.197,0.803
MSFT,Are retail investors leaning away from software amid tech rally?,"While record-breaking rallies in tech push the US market (^DJI, ^IXIC, ^GSPC) to new heights in 2026, are retail investors still as engaged with these market dynamics that come with these massive valuations? Yahoo Finance Senior Reporters Ines Ferré and Brooke DiPalma comment on the latest trends in retail trading activity observed by JPMorgan.",Yahoo Finance Video,2026-05-14,,,,Are retail investors leaning away from software amid tech rally?,VADER,neutral,0.0,0.0,0.0,1.0
MSFT,Will Microsoft’s (MSFT) Capped OpenAI Deal and New AI Alliances Change Its Platform Power Narrative?,"In recent days, Microsoft appointed former EY global chairman and CEO Carmine Di Sibio to its board and saw its overhauled OpenAI partnership formalized with a reported US$38 billion cap on revenue-sharing payments, while continuing to broaden AI collaborations and infrastructure investments. These moves highlight Microsoft’s effort to balance a large, but now capped, economic exposure to OpenAI with a wider, more independent AI ecosystem spanning new startup partnerships and internal...",Simply Wall St.,2026-05-15,,,,Will Microsofts MSFT Capped OpenAI Deal and New AI Alliances Change Its Platform Power Narrative?,VADER,neutral,0.0,0.0,0.0,1.0
MSFT,CMA launches probe into Microsoft business software ecosystem,The UK watchdog will examine whether Microsoft has SMS in business software and whether it limits customer choice and competition.,Verdict,2026-05-15,,,,CMA launches probe into Microsoft business software ecosystem,VADER,neutral,0.0,0.0,0.0,1.0
MSFT,Intrusion Inc (INTZ) Q1 2026 Earnings Call Highlights: Strategic Wins and Challenges Amidst ...,"Despite a significant new contract and expanding partnerships, Intrusion Inc (INTZ) faces revenue challenges due to government contract delays.",GuruFocus.com,2026-05-15,,,,Intrusion Inc INTZ Q1 2026 Earnings Call Highlights: Strategic Wins and Challenges Amidst ...,VADER,positive,0.6124,0.294,0.0,0.706
MSFT,Social media site with 1.3 billion users sends harsh layoffs message,"LinkedIn built its business around helping people find jobs, grow their careers, and connect with employers. Now, the Microsoft-owned professional networking platform is delivering difficult news to some of its own workers. This comes within weeks of Microsoft’s voluntary buyouts for its ...",TheStreet,2026-05-14,,,,Social media site with 1.3 billion users sends harsh layoffs message,VADER,negative,-0.4404,0.0,0.225,0.775
MSFT,Meta Is Burning Cash With Nothing to Show for It. Buy This Stock Instead,"Meta Platforms (NASDAQ:META) is dominating headlines because Q1 looked like a blowout, with EPS of $10.44 versus $6.66 expected and revenue of $56.31 billion growing 33.1% year over year. The composition of that beat is what actually matters. That stunning beat was substantially manufactured by a one-time gift. An $8.03 billion income tax benefit tied ... Meta Is Burning Cash With Nothing to Show for It. Buy This Stock Instead",24/7 Wall St.,2026-05-14,,,,Meta Is Burning Cash With Nothing to Show for It. Buy This Stock Instead,VADER,neutral,0.0,0.0,0.0,1.0
NVDA,"Stock market today: Dow, S&P 500, Nasdaq futures fall as yields rise, Trump-Xi summit ends",Inflation worries are preying on investors as they weigh the outcomes of the Trump-Xi summit in China.,Yahoo Finance,2026-05-14,,,,"Stock market today: Dow, SP 500, Nasdaq futures fall as yields rise, Trump-Xi summit ends",VADER,neutral,0.0,0.0,0.0,1.0
NVDA,"Dow back above 50,000, US stocks hit new records on AI rally","US stocks (^DJI, ^IXIC, ^GSPC) close Thursday's session higher after the Dow Jones Industrial Average crossed back above 50,000 points on the winds of the latest AI rally. Yahoo Finance Senior Markets Reporter Ines Ferré highlights the leaders and biggest gainers in the semiconductor trade.",Yahoo Finance Video,2026-05-14,,,,"Dow back above 50,000, US stocks hit new records on AI rally",VADER,neutral,0.0,0.0,0.0,1.0
NVDA,Why Cerebras AI chips stand out in the Nvidia-dominated market,"Cerebras' chips are far different from Nvidia's, but both are designed to power AI data centers.",Yahoo Finance,2026-05-14,,,,Why Cerebras AI chips stand out in the Nvidia-dominated market,VADER,neutral,0.0,0.0,0.0,1.0
NVDA,What's driving the meteoric rise of the DRAM ETF,"The Roundhill Memory ETF (DRAM) has become the fastest-growing ETF ever, soaring past $6.5 billion in managed assets. This comes as memory chip stocks like Micron Technology (MU) surge by 180% year-to-date in 2026 and Sandisk (SNDK) skyrocketing over 3,200% over the past year alone. Roundhill Investments CEO Dave Mazza — whose firm manages the fund — comes on Market Catalyst to talk about the ETF's growth and the supply and demand dynamics at play with AI data center projects.",Yahoo Finance Video,2026-05-14,,,,What's driving the meteoric rise of the DRAM ETF,VADER,neutral,0.0,0.0,0.0,1.0
NVDA,Photonics is 'phase 3' of AI infrastructure build. But what is photonics?,"The Nasdaq Composite (^IXIC) leads Wednesday's stock gains alongside the S&P 500 (^GSPC), the former ending the trading day 1.2% higher as the sector rallied. IDX Advisors CIO Ben McMillan comes on Market Domination Overtime to explain the demand for photonics technology — or the use of laser and light to transmit data — that could be the next phase of the AI Revolution.",Yahoo Finance Video,2026-05-14,,,,Photonics is 'phase 3' of AI infrastructure build. But what is photonics?,VADER,neutral,0.0,0.0,0.0,1.0
NVDA,2 Growth Stocks Are the Smarter Plays in the AI Supercycle Than Nvidia Right Now,AMD and Broadcom could outperform Nvidia in the coming years.,Motley Fool,2026-05-15,,,,2 Growth Stocks Are the Smarter Plays in the AI Supercycle Than Nvidia Right Now,VADER,positive,0.765,0.409,0.0,0.591
NVDA,Better Space Stock: Firefly Aerospace vs. Intuitive Machines,Space stocks have been rallying since news of SpaceX's IPO dropped in March. Which of these two stocks is worth a look while you wait for SpaceX to go public?,Motley Fool,2026-05-15,,,,Better Space Stock: Firefly Aerospace vs. Intuitive Machines,VADER,positive,0.4404,0.293,0.0,0.707
NVDA,Zacks Investment Ideas feature highlights: IREN and NVIDIA,"IREN is accelerating its AI infrastructure push with NVIDIA partnerships, secured power capacity and a $10 billion revenue backlog.",Zacks,2026-05-15,,,,Zacks Investment Ideas feature highlights: IREN and NVIDIA,VADER,neutral,0.0,0.0,0.0,1.0
NVDA,Will a Strategic Pivot to China Save Struggling Wendy's?,"Wendy's signed an agreement to open up to 1,000 locations in China over the next decade.",Motley Fool,2026-05-15,,,,Will a Strategic Pivot to China Save Struggling Wendy's?,VADER,positive,0.1027,0.267,0.233,0.5
AMZN,AI hyperscalers are 'falling behind' if they're not spending: Strategist,"As AI chip stock rally and push the market (^DJI, ^IXIC, ^GSPC) to new record highs, Hamilton Capital Partners CIO Alonso Munoz comes on Market Domination to speak more on the lofty capex spending these hyperscalers continue to invest into artificial intelligence.",Yahoo Finance Video,2026-05-14,,,,AI hyperscalers are 'falling behind' if they're not spending: Strategist,VADER,negative,-0.1531,0.0,0.151,0.849
AMZN,"Cisco surges on Q3 AI demand, while cutting 4,000 jobs in AI overhaul","Cisco Systems (CSCO) stock has surged by double-digits since reporting fiscal third quarter results in Wednesday's extended hours, topping Wall Street expectations with revenue of $15.84 billion and adjusted earnings of $1.06 per share. This comes after the cloud operator laid off 4,000 workers as part of a new AI-focused restructuring. Hennion & Walsh CIO Kevin Mahn and Yahoo Finance Senior Reporters Ines Ferré and Brooke DiPalma take a closer look at the AI demand propelling Cisco, the cloud operator's outlook, and its recent job cuts.",Yahoo Finance Video,2026-05-14,,,,"Cisco surges on Q3 AI demand, while cutting 4,000 jobs in AI overhaul",VADER,negative,-0.25,0.0,0.214,0.786
AMZN,Vuzix Q1 Earnings Call Highlights,"Vuzix (NASDAQ:VUZI) reported a smaller first-quarter loss as operating expenses declined, while revenue fell year over year amid lower product sales, management said on the company’s first-quarter 2026 earnings call. Chief Executive Officer Paul Travers said the company is continuing to focus its s",MarketBeat,2026-05-15,,,,Vuzix Q1 Earnings Call Highlights,VADER,neutral,0.0,0.0,0.0,1.0
AMZN,FitLife Brands Inc (FTLF) Q1 2026 Earnings Call Highlights: Revenue Surge Amidst Acquisition Gains,"FitLife Brands Inc (FTLF) reports a 59% revenue increase driven by strategic acquisitions, despite challenges in gross margins and net income.",GuruFocus.com,2026-05-15,,,,FitLife Brands Inc FTLF Q1 2026 Earnings Call Highlights: Revenue Surge Amidst Acquisition Gains,VADER,positive,0.34,0.156,0.0,0.844
AMZN,Cerebras Raises $5.55 Billion IPO at $40 Billion Valuation,AI chipmaker priced shares above range as IPO demand exceeded available shares more than 20 times.,GuruFocus.com,2026-05-15,,,,Cerebras Raises $5.55 Billion IPO at $40 Billion Valuation,VADER,neutral,0.0,0.0,0.0,1.0
AMZN,FitLife Brands Q1 Earnings Call Highlights,"FitLife Brands (NASDAQ:FTLF) reported sharply higher first-quarter 2026 revenue, driven by the acquisition of Irwin, while profitability declined as the company absorbed lower Irwin margins and higher acquisition-related expenses. Chief Executive Officer Dayton Judd said total revenue for the quart",MarketBeat,2026-05-15,,,,FitLife Brands Q1 Earnings Call Highlights,VADER,neutral,0.0,0.0,0.0,1.0
AMZN,Amazon Rallies 36% as AI Push Drives Market Value Toward $3 Trillion,AWS growth and $225 billion in AI chip commitments are strengthening investor confidence in Amazon's long-term AI strategy.,GuruFocus.com,2026-05-14,,,,Amazon Rallies 36% as AI Push Drives Market Value Toward $3 Trillion,VADER,positive,0.4767,0.291,0.0,0.709
AMZN,Amazon Expands Smaller Whole Foods Stores,Amazon is bringing its compact Whole Foods format to more major cities as it targets urban shoppers.,GuruFocus.com,2026-05-14,,,,Amazon Expands Smaller Whole Foods Stores,VADER,positive,0.2732,0.437,0.0,0.563
AMZN,3 Top Stocks That Growth Investors Should Buy Now,"Nvidia, Amazon, and Meta Platforms all have plenty of upside potential.",Motley Fool,2026-05-14,,,,3 Top Stocks That Growth Investors Should Buy Now,VADER,positive,0.5267,0.423,0.0,0.577
META,Meta Platforms Confronts AI Talent Draft Protests And Escalating Regulatory Pressure,"Meta Platforms is facing internal protests over new mouse tracking workplace monitoring tools and a large scale reassignment of engineers into its Applied AI Engineering division. Regulators in the US are increasing pressure on the company with a major California lawsuit focused on AI use in scam ads and potentially predatory advertising practices. In the EU, Meta Platforms is opening WhatsApp access to rival AI chatbots as it responds to competition and content rules under the Digital...",Simply Wall St.,2026-05-15,,,,Meta Platforms Confronts AI Talent Draft Protests And Escalating Regulatory Pressure,VADER,negative,-0.296,0.177,0.38,0.443
META,Canada's Cohere embraces 'low drama' amid AI giant tumult,"In an industry that runs on hype and grand gestures, Canadian AI firm Cohere is charting a different course from Silicon Valley.The deal, backed by both the Canadian and German governments, is designed to position Cohere as a sovereign alternative for businesses to American AI giants in the European market, as well as in Asia.",AFP,2026-05-15,,,,Canada's Cohere embraces 'low drama' amid AI giant tumult,VADER,negative,-0.2732,0.0,0.208,0.792
META,Meta Platforms Looks Like a Bargain Right Now,Meta Platforms might be one of the most undervalued tech stocks right now.,Motley Fool,2026-05-14,,,,Meta Platforms Looks Like a Bargain Right Now,VADER,positive,0.5106,0.462,0.0,0.538
META,Elon Musk’s SpaceXAI has been bleeding staff since its merger,"More than 50 employees have reportedly left Elon Musk’s newly merged SpaceXAI since February, raising questions about burnout, leadership changes, talent poaching, and whether liquidity events weakened retention incentives.",TechCrunch,2026-05-14,,,,Elon Musks SpaceXAI has been bleeding staff since its merger,VADER,neutral,0.0,0.0,0.0,1.0
META,Cerebras Stock Jumps 68% After Blockbuster IPO. CEO Sees Bigger Things Ahead.,"Cerebras’ IPO comes at a dramatic time, with chip stocks surging and many at or near all-time highs.",Barrons.com,2026-05-14,,,,Cerebras Stock Jumps 68% After Blockbuster IPO. CEO Sees Bigger Things Ahead.,VADER,positive,0.5994,0.262,0.0,0.738
GOOGL,Alphabet's $60 Billion AI Debt Blitz Puts Credit Markets On Alert,Alphabet's global bond push highlights rising AI funding needs and growing pressure on overseas credit markets.,GuruFocus.com,2026-05-15,,,,Alphabet's $60 Billion AI Debt Blitz Puts Credit Markets On Alert,VADER,positive,0.3182,0.314,0.163,0.523
GOOGL,Meta Stock vs. Google Stock: One Is Clearly the Better Buy for the Next 10 Years,"Both Big Tech stocks look like long-term winners, but one clearly has the upper hand.",Barchart,2026-05-14,,,,Meta Stock vs. Google Stock: One Is Clearly the Better Buy for the Next 10 Years,VADER,positive,0.6808,0.286,0.0,0.714
GOOGL,‘LifeHack’ Review: A High-Tech Heist,A group of digital-savvy Gen-Zers try to pull off a crypto caper in the impressively entertaining feature debut from writer-director Ronan Corrigan.,The Wall Street Journal,2026-05-14,,,,LifeHack Review: A High-Tech Heist,VADER,neutral,0.0,0.0,0.0,1.0
TSLA,"Tesla, Toyota expose surprising auto industry truth","Toyota Motor (TM) and Tesla (TSLA) are generally seen as rivals in the global auto business. Toyota is the manufacturing powerhouse, selling more than 11 million automobiles a year in almost every major market. Tesla is the electric vehicle disruptor that pushed the industry to embrace batteries, ...",TheStreet,2026-05-15,,,,"Tesla, Toyota expose surprising auto industry truth",VADER,positive,0.4215,0.44,0.16,0.4
TSLA,Elon Musk's Tesla Launches Affordable Financing Plan After Dropping Out Of China's Top EV 10 Makers,"Tesla Inc. has dropped out of the top ten EV companies in the Chinese domestic market as the Elon Musk-led EV giant’s retail sales fell in April. Tesla Drops Out Of Top 10 In a report by CnEVPost on Tuesday,...",Benzinga,2026-05-14,,,,Elon Musk's Tesla Launches Affordable Financing Plan After Dropping Out Of China's Top EV 10 Makers,VADER,positive,0.2023,0.107,0.0,0.893
TSLA,Tesla Stock Wobbles as China Self-Driving Talks Heat Up Again,Elon Musk's China Push Puts Tesla Self-Driving Dreams Back in Focus,GuruFocus.com,2026-05-14,,,,Tesla Stock Wobbles as China Self-Driving Talks Heat Up Again,VADER,neutral,0.0,0.0,0.0,1.0
TSLA,Tesla China Talks Put FSD Prospects And Valuation Risks In Focus,"Elon Musk joined President Trump’s delegation to China for high level talks with Chinese officials. During the visit, President Xi Jinping told Musk and other US CEOs that China plans to open its door wider to American companies. The trip raised investor focus on potential implications for Tesla’s Full Self Driving software, supply chain, and China based operations. Tesla (NasdaqGS:TSLA) is a major electric vehicle and clean energy company with large scale manufacturing and sales exposure...",Simply Wall St.,2026-05-14,,,,Tesla China Talks Put FSD Prospects And Valuation Risks In Focus,VADER,neutral,0.0258,0.165,0.158,0.677
TSLA,"Tesla robotaxi rollout features long wait times, safety concerns","STORY: Tesla's robotaxi service is experiencing significant operational problems in Texas, raising questions about CEO Elon Musk’s ambitious vision for a near future full of driverless cars.Reuters testing in Dallas, Houston and Austin found long wait times exceeding 30 minutes, limited availability and navigation problems.In one case, a 20‑minute trip in Dallas stretched to nearly two hours.The service remains confined to those three Texas cities despite Musk predicting last July that robotaxis would serve half the U.S. population by the end of 2025.&nbsp;Much of Tesla’s $1.6 trillion valuation hinges on investor belief that the company will soon unleash a vast fleet of robotaxis.But analysts say the expansion is moving slower than expected, with Musk now describing a more “cautious approach” to avoid injuries or fatalities.In the meantime, experts have raised concerns about the technology's limits, including Peter Stone, a computer science professor at the University of Texas at Austin.“People, at least so far, tend to be much better at unexpected situations and being able to reason about something that you've never seen before. But to be able to figure out on the fly what to do, especially if you're using a machine learning-based system, it relies critically on the training data that's been given. And if you come up with a completely, what's known as out of distribution, which is sort of a code word for just new or novel situation, then it's going to be much more difficult for a software-based system to react than people are.”&nbsp;Police in Austin said Tesla's robotaxis tend to ignore posted speed limits, noting that vehicles in test rides last year drove 5 mph above the speed limit.&nbsp;&nbsp;Since August, Tesla has reported 15 robotaxi crashes in Austin to federal regulators.Most did not involve injuries, but one involved someone being&nbsp;sent to the hospital.Tesla has requested that all information about the incidents be kept confidential, according to police.Tesla did not respond to Reuters requests for comment.",Reuters Videos,2026-05-14,,,,"Tesla robotaxi rollout features long wait times, safety concerns",VADER,positive,0.4215,0.259,0.0,0.741
TSLA,How Lucid Went From Near-Term Upside to Major Disappointment,"Lucid delivered multiple consecutive quarters of growth, poised to expand further with the launch of Gravity. Unfortunately, past problems are reappearing.",Motley Fool,2026-05-14,,,,How Lucid Went From Near-Term Upside to Major Disappointment,VADER,negative,-0.5106,0.0,0.292,0.708
JPM,How The SSE (LSE:SSE) Investment Story Is Shifting As Analysts Split On Valuation,"Analysts have made only a marginal adjustment to SSE's fair value, with the price target now set at £27.38 compared with the prior £27.34. Behind this, you are seeing a mix of higher targets such as £28.50 and a £3.45 uplift at JPMorgan on one side, and a downgrade from firms like Goldman Sachs on the other, reflecting a clear split in how the story is being read. As you read on, you will see how these shifting targets feed into an evolving narrative you can track over time. Analyst Price...",Simply Wall St.,2026-05-15,,,,How The SSE LSE:SSE Investment Story Is Shifting As Analysts Split On Valuation,VADER,neutral,0.0,0.0,0.0,1.0
JPM,Where is JPMorgan Chase’s headquarters? Inside the banking giant’s new NYC tower,"For over a century, skyscrapers have served as the ultimate symbols of corporate power and ambition, showcasing the latest in technological and engineering advancements while reaching ever higher toward the sky. Perhaps no other building better displays where a business has been — and where it’s ...",TheStreet,2026-05-15,,,,Where is JPMorgan Chases headquarters? Inside the banking giants new NYC tower,VADER,neutral,0.0,0.0,0.0,1.0
JPM,JPMorgan’s New Ethereum Money Market Fund Might Change The Case For Investing In JPMorgan Chase (JPM),"In early May 2026, JPMorgan Chase filed with regulators to launch its second tokenized money market fund on Ethereum, expanding its blockchain-based, Treasury-focused liquidity products for institutional clients. This move deepens JPMorgan’s use of public blockchain rails and positions its tokenized funds as potential reserve assets for regulated stablecoin issuers under the GENIUS Act. We’ll now examine how JPMorgan’s growing Ethereum-based tokenized money market funds could reshape its...",Simply Wall St.,2026-05-15,,,,JPMorgans New Ethereum Money Market Fund Might Change The Case For Investing In JPMorgan Chase JPM,VADER,neutral,0.0,0.0,0.0,1.0
JPM,International Value Stocks Crush S&P With 40% Return,JPMorgan's Paul Quinsee says global value strategies offer strong returns with limited exposure to technology and the Magnificent 7.,GuruFocus.com,2026-05-14,,,,International Value Stocks Crush SP With 40% Return,VADER,positive,0.2023,0.24,0.16,0.6
JPM,Berkshire Hathaway Had a Busy First Quarter. 10 Stocks It Might Have Sold.,"Berkshire Hathaway had one of its most active quarters for equity purchases and sales in the first three months of the year, and investors will find out about those changes Friday.  Berkshire’s smaller equity holdings likely were most affected.  Berkshire bought $16 billion of stocks in the first quarter of 2026 and sold $24 billion, making it one of the most active periods for the company in recent years, based on information from the 10-Q report that was released on May 2 in conjunction with its first-quarter earnings.",Barrons.com,2026-05-14,,,,Berkshire Hathaway Had a Busy First Quarter. 10 Stocks It Might Have Sold.,VADER,neutral,0.0,0.0,0.0,1.0
JPM,"Jamie Dimon Warns JPMorgan Will Reconsider New London HQ If UK Turns 'Hostile' To Banks: 'If That Happens Too Much, We Will...'","Jamie Dimon, the chairman and CEO of JP Morgan Chase & Co., said the bank could reconsider its multibillion-dollar London headquarters expansion if the UK becomes ""hostile to banks"" again through higher taxes and stricter regulations. Speaking to Bloomberg TV...",Benzinga,2026-05-14,,,,"Jamie Dimon Warns JPMorgan Will Reconsider New London HQ If UK Turns 'Hostile' To Banks: 'If That Happens Too Much, We Will...'",VADER,negative,-0.1027,0.0,0.062,0.938
JPM,Why Is JPMorgan Chase & Co. (JPM) Down 1.9% Since Last Earnings Report?,JPMorgan Chase & Co. (JPM) reported earnings 30 days ago. What's next for the stock? We take a look at earnings estimates for some clues.,Zacks,2026-05-14,,,,Why Is JPMorgan Chase  Co. JPM Down 1.9% Since Last Earnings Report?,VADER,neutral,0.0,0.0,0.0,1.0
JPM,"Retail Sales Rise Solidly, But Signs of a Consumer Spending Pullback Emerge","Sales at U.S. retailers rose modestly in April, with spending proving more uneven in the face of higher fuel prices.  There is “little sign” that higher fuel costs are forcing consumers to cut back dramatically on their overall spending as of yet, he notes, though that pressure is expected to build in the coming months.  Nominal spending on essentials held up relatively well in April, though much of that is likely a result of higher prices.",Barrons.com,2026-05-14,,,,"Retail Sales Rise Solidly, But Signs of a Consumer Spending Pullback Emerge",VADER,neutral,0.0,0.0,0.0,1.0
JPM,$300 Billion AI Debt Binge Spreads From Wall Street to Tokyo,"(Bloomberg) -- Bankers were still putting the final touches on Alphabet Inc.’s blockbuster $17 billion of bond sales when word started to spread Monday morning on Wall Street: the company is already hawking more debt.Most Read from BloombergIran’s Kharg Island Oil Jetties Empty Again Yesterday, Satellite ShowsWhat Is The Thucydides Trap and Why Did Xi Raise It With Trump?Trump Says China Offered Help With Iran as Ship Seized Near UAEXi Tells US CEOs on Trump Visit That China Will Open Up MoreThi",Bloomberg,2026-05-14,,,,$300 Billion AI Debt Binge Spreads From Wall Street to Tokyo,VADER,negative,-0.3612,0.0,0.2,0.8
JPM,"JPMorgan vs. Truist: A Battle of Scale, Stability and Growth","JPM's scale, $4.9T assets and dividend firepower face off with Truist's discounted valuation and recovery plan. Who has the edge? Let's find out.",Zacks,2026-05-14,,,,"JPMorgan vs. Truist: A Battle of Scale, Stability and Growth",VADER,neutral,0.0,0.213,0.213,0.574
V,Visa Gain and Portfolio Shift Might Change The Case For Investing In Commerce Bancshares (CBSH),"Commerce Bancshares recently recorded a US$99 million pre-tax gain from a Visa stock exchange and disclosed plans to sell about US$911 million of lower-yielding available-for-sale securities to reinvest in higher-yield assets, aiming to reshape its securities portfolio after the March 31, 2026 reporting period. This portfolio realignment, paired with State Street’s reported beneficial ownership of 7.07 million Commerce Bancshares shares, highlights growing institutional engagement with the...",Simply Wall St.,2026-05-15,,,,Visa Gain and Portfolio Shift Might Change The Case For Investing In Commerce Bancshares CBSH,VADER,positive,0.5267,0.195,0.0,0.805
V,Credit Card Charges Show This Glaring Divergence With The Economy,The country's largest credit card companies saw first-quarter spending increase 7% year over year to $1.1 trillion.,Investor's Business Daily,2026-05-14,,,,Credit Card Charges Show This Glaring Divergence With The Economy,VADER,positive,0.128,0.205,0.165,0.63
V,Global Payments Enhances Restaurant Tech Portfolio With AI POS Launch,"GPN introduces an AI-powered Genius handheld POS with voice ordering, offline payments and kiosk support for restaurants.",Zacks,2026-05-14,,,,Global Payments Enhances Restaurant Tech Portfolio With AI POS Launch,VADER,neutral,0.0,0.0,0.0,1.0
V,Can AmEx's Canada Dining Expansion Drive Higher Card Spend?,AXP expands card acceptance at three Canadian restaurant chains as AmEx targets higher dining spend and deeper cardmember engagement.,Zacks,2026-05-14,,,,Can AmEx's Canada Dining Expansion Drive Higher Card Spend?,VADER,neutral,0.0,0.0,0.0,1.0
V,Can Mastercard Ride the Agentic Commerce Wave With PhotonPay?,"MA tests AI-driven payments with PhotonPay, signaling a push to power secure autonomous transactions in the emerging agentic economy.",Zacks,2026-05-14,,,,Can Mastercard Ride the Agentic Commerce Wave With PhotonPay?,VADER,neutral,0.0,0.0,0.0,1.0
V,Field Notes: Visa Tap Tech for Consumers,"PTC expands free startup program, and Placer.ai's latest mall visits report.",Sourcing Journal,2026-05-14,,,,Field Notes: Visa Tap Tech for Consumers,VADER,neutral,0.0,0.0,0.0,1.0
V,Visa’s Flexible Credential Pilot Could Be A Game Changer For Visa (V),"Visa, Zilch and Thredd recently introduced Visa Flexible Credential on Zilch cards in the UK, allowing multiple payment options to operate behind a single physical or digital card while preserving the usual tap-to-pay experience. This move highlights how Visa is turning its vast merchant acceptance network into a more configurable platform, giving issuers and fintechs a way to bundle different ways to pay without adding extra cards or apps for consumers. Next, we’ll examine how Visa Flexible...",Simply Wall St.,2026-05-14,,,,Visas Flexible Credential Pilot Could Be A Game Changer For Visa V,VADER,positive,0.2263,0.174,0.0,0.826
V,Wall Street Bulls Look Optimistic About Visa (V): Should You Buy?,"Based on the average brokerage recommendation (ABR), Visa (V) should be added to one's portfolio. Wall Street analysts' overly optimistic recommendations cast doubt on the effectiveness of this highly sought-after metric. So, is the stock worth buying?",Zacks,2026-05-14,,,,Wall Street Bulls Look Optimistic About Visa V: Should You Buy?,VADER,positive,0.3182,0.187,0.0,0.813
